semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2026-04-20,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,17,4
2026-04-27,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,18,4
2026-05-04,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,19,5
2026-05-11,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,20,5
2026-05-18,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,21,5
2026-05-25,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,22,5
2022-01-17,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,3,1
2022-01-24,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,4,1
2022-01-31,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,5,1
2022-02-07,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,6,2
2022-02-14,AEROPORTO,0,1.0,0.0,0.0,0.25,1.0,7,2
2022-02-21,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,8,2
2022-02-28,AEROPORTO,0,0.0,0.0,1.0,0.25,0.0,9,2
2022-03-07,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,10,3
2022-03-14,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,11,3
2022-03-21,AEROPORTO,1,1.0,0.0,0.0,0.25,1.0,12,3
2022-03-28,AEROPORTO,0,1.0,1.0,0.0,0.5,0.0,13,3
2022-04-04,AEROPORTO,0,0.0,1.0,1.0,0.5,-1.0,14,4
2022-04-11,AEROPORTO,0,0.0,0.0,1.0,0.5,0.0,15,4
2022-04-18,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,16,4
2022-04-25,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,17,4
2022-05-02,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,18,5
2022-05-09,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,19,5
2022-05-16,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,20,5
2022-05-23,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,21,5
2022-05-30,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,22,5
2022-06-06,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,23,6
2022-06-13,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,24,6
2022-06-20,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,25,6
2022-06-27,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,26,6
2022-07-04,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,27,7
2022-07-11,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,28,7
2022-07-18,AEROPORTO,3,0.0,0.0,0.0,0.0,0.0,29,7
2022-07-25,AEROPORTO,0,3.0,0.0,0.0,0.75,3.0,30,7
2022-08-01,AEROPORTO,0,0.0,3.0,0.0,0.75,-3.0,31,8
2022-08-08,AEROPORTO,0,0.0,0.0,3.0,0.75,0.0,32,8
2022-08-15,AEROPORTO,0,0.0,0.0,0.0,0.75,0.0,33,8
2022-08-22,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,34,8
2022-08-29,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,35,8
2022-09-05,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,36,9
2022-09-12,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,37,9
2022-09-19,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,38,9
2022-09-26,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,39,9
2022-10-03,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,40,10
2022-10-10,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,41,10
2022-10-17,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,42,10
2022-10-24,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,43,10
